"security_id","symbol","name","series","tick_size","lot_size","instrument_type","segment","exchange","upper_limit","lower_limit","expiry_date","strike_price","freeze_quantity"
"530043","ACKNIT","Acknit Industries","X","5.0000","1","ES","E","BSE","310.6000","207.1000","","","-1"
"4732","SKMEGGPROD","Skm Egg Prod Export","EQ","5.0000","1","ES","E","NSE","285.7500","258.5500","","","367435"
"505720","HERCULES","Hercules Hoists","B","5.0000","1","ES","E","BSE","566.4000","377.6000","","","-1"
"533259","SASTASUNDR","Sastasundar Ventures","B","5.0000","1","ES","E","BSE","350.1000","233.4000","","","-1"
"21551","SMSLIFE","SMS Lifesciences","EQ","5.0000","1","ES","E","NSE","681.5500","616.6500","","","98861"
"11689","SUPRAJIT","Suprajit Engineering","EQ","5.0000","1","ES","E","NSE","428.6500","387.8500","","","244916"
"3570","UCAL","UCAL LIMITED","EQ","5.0000","1","ES","E","NSE","173.0000","156.6000","","","606775"
"500210","INGERRAND","Ingersoll Rand","A","5.0000","1","ES","E","BSE","5207.9000","3472.0000","","","-1"
"9889","SMARTLINK","Smartlink Holdings","EQ","5.0000","1","ES","E","NSE","262.0000","237.1000","","","326182"
"526381","PATINTLOG","Patel Integrated Logistic","B","1.0000","1","ES","E","BSE","25.2100","16.8100","","","-1"
"509835","PREMSYN","Premier Synthetics","X","1.0000","1","ES","E","BSE","17.6000","14.4000","","","-1"
"537392","TAAZAINT","Taaza International","Z","1.0000","1","ES","E","BSE","6.5100","5.8900","","","-1"
"532218","SOUTHBANK","South Indian Bank","A","1.0000","1","ES","E","BSE","32.6800","21.8000","","","-1"
"532392","CREATIVEYE","Creative Eye","B","1.0000","1","ES","E","BSE","6.5100","5.8900","","","-1"
"523716","ASHIANA","Ashiana Housing","B","5.0000","1","ES","E","BSE","430.6000","287.1000","","","-1"
"506180","EMERGENT","Emergent Industrial Solutions","XT","1.0000","1","ES","E","BSE","94.7600","85.7400","","","-1"
"503776","MODIPON","Modipon","X","1.0000","1","ES","E","BSE","48.5200","32.3600","","","-1"
"531456","MINAXI","Minaxi Textiles","XT","1.0000","1","ES","E","BSE","2.5700","2.3300","","","-1"
"13111","ORIENTCER","Orient Abrasives","EQ","5.0000","1","ES","E","NSE","49.3500","44.6500","","","2127543"
"522171","TMTIND-B1","Tmt","XT","1.0000","1","ES","E","BSE","3.7500","3.4100","","","-1"
"13577","VOLTAMP","Voltamp Transformers","EQ","5.0000","1","ES","E","NSE","10334.6500","9350.4500","","","10157"
"524711","VISTAPH","Vista Pharmaceuticals","Z","1.0000","1","ES","E","BSE","14.8500","13.4500","","","-1"
"500696","HINDUNILVR","Hindustan Unilever","A","5.0000","1","ES","E","BSE","2592.8000","2121.4000","","","-1"
"6407","LAMBODHARA","Lambodhara Textiles","EQ","5.0000","1","ES","E","NSE","153.1500","138.6000","","","339347"
"4306","SHRIRAMFIN","Shriram Finance Limited","EQ","5.0000","1","ES","E","NSE","2461.5500","2227.1500","","","42464"
"521244","MKPMOB","Chitradurga Spintex","XT","5.0000","1","ES","E","BSE","258.0500","247.9500","","","-1"
"14413","PAGEIND","Page Industries","EQ","5.0000","1","ES","E","NSE","36250.7500","32798.3500","","","2888"
"532189","ITDC","ITDC","B","5.0000","1","ES","E","BSE","674.1500","551.6500","","","-1"
"542679","DEL","Dhanashree Electronics Li","X","1.0000","1","ES","E","BSE","68.4000","45.6000","","","-1"
"540136","HPL","Hpl Electric & Power Limi","B","5.0000","1","ES","E","BSE","437.6500","358.1500","","","-1"
"6600","GENUSPAPER","Genus P&B","EQ","5.0000","1","ES","E","NSE","23.6000","21.4000","","","4444421"
"506480","GOCLCORP","GOCL Corp","B","5.0000","1","ES","E","BSE","477.9500","318.6500","","","-1"
"532994","ARCHIDPLY","Archidply Industries","T","5.0000","1","ES","E","BSE","122.4500","110.8500","","","-1"
"539533","ELITECON","Elitecon International","XT","1.0000","1","ES","E","BSE","11.0200","9.9800","","","-1"
"532505","UCOBANK","UCO Bank","A","1.0000","1","ES","E","BSE","63.5600","42.3800","","","-1"
"517273","S&SPOWER","S&S Power Switchgear","T","5.0000","1","ES","E","BSE","286.8500","275.6500","","","-1"
"14894","CENTRALBK","Central Bank Of India","EQ","5.0000","1","ES","E","NSE","63.8000","57.8000","","","1640697"
"531237","DHRUVCA","Dhruva Capital Services L","XT","5.0000","1","ES","E","BSE","446.2500","403.7500","","","-1"
"539894","MADHAVIPL","Madhav Infra Projects Lim","XT","1.0000","1","ES","E","BSE","14.3700","13.0100","","","-1"
"17957","MMTC","MMTC","EQ","5.0000","1","ES","E","NSE","72.4500","65.5500","","","1448999"
"530065","LORDSHOTL","Lords Ishwar Hotels Limit","XT","1.0000","1","ES","E","BSE","23.8300","21.5700","","","-1"
"531778","KACHCHH","Kachchh Minerals","X","1.0000","1","ES","E","BSE","36.2600","32.8200","","","-1"
"530581","EKAMLEA","Ekam Leasing & Finance Co","X","1.0000","1","ES","E","BSE","6.3100","5.1700","","","-1"
"523260","PEARLPOLY","Pearl Polymers","B","1.0000","1","ES","E","BSE","47.6800","31.8000","","","-1"
"523628","PODDARHOUS","Poddar Housing And Develo","Z","5.0000","1","ES","E","BSE","107.4500","97.2500","","","-1"
"526301","MEDINOV","Medinova Diagnostic Servi","X","1.0000","1","ES","E","BSE","39.7800","36.0000","","","-1"
"533287","ZEELEARN","Zee Learn","T","1.0000","1","ES","E","BSE","6.2000","5.6200","","","-1"
"500096","DABUR","Dabur India","A","5.0000","1","ES","E","BSE","606.1500","495.9500","","","-1"
"530259","INTSTOIL","Inter State Oil Carrier L","X","1.0000","1","ES","E","BSE","41.4100","37.4700","","","-1"
"532553","WELENT","Welspun Enterprises Limte","A","5.0000","1","ES","E","BSE","451.8500","301.2500","","","-1"
"506734","MYSORPETRO","Mysore Petro Chemicals","X","5.0000","1","ES","E","BSE","217.8000","145.2000","","","-1"
"506520","JAYCH","Jayshree Chemicals","XT","1.0000","1","ES","E","BSE","10.1000","9.1400","","","-1"
"524518","KREBSBIO","Krebs Biochemicals & Ind","B","1.0000","1","ES","E","BSE","72.4700","59.3100","","","-1"
"524091","CARYSIL","Carysil Limited","B","5.0000","1","ES","E","BSE","1050.0500","700.0500","","","-1"
