"security_id","symbol","name","series","tick_size","lot_size","instrument_type","segment","exchange","upper_limit","lower_limit","expiry_date","strike_price","freeze_quantity"
"36687","011NSETEST-Nov2036-FUT","011NSETEST NOV FUT","","5.0000","50","FUTSTK","D","NSE","220.0000","180.0000","2036-11-27 14:00:00","","100001"
"36690","021NSETEST-Nov2036-FUT","021NSETEST NOV FUT","","5.0000","50","FUTSTK","D","NSE","220.0000","180.0000","2036-11-27 14:00:00","","100001"
"36691","031NSETEST-Nov2036-FUT","031NSETEST NOV FUT","","5.0000","50","FUTSTK","D","NSE","220.0000","180.0000","2036-11-27 14:00:00","","100001"
"36694","041NSETEST-Nov2036-FUT","041NSETEST NOV FUT","","5.0000","50","FUTSTK","D","NSE","220.0000","180.0000","2036-11-27 14:00:00","","100001"
"36697","051NSETEST-Nov2036-FUT","051NSETEST NOV FUT","","5.0000","50","FUTSTK","D","NSE","220.0000","180.0000","2036-11-27 14:00:00","","100001"
"36700","061NSETEST-Nov2036-FUT","061NSETEST NOV FUT","","5.0000","50","FUTSTK","D","NSE","220.0000","180.0000","2036-11-27 14:00:00","","100001"
"36702","071NSETEST-Nov2036-FUT","071NSETEST NOV FUT","","5.0000","50","FUTSTK","D","NSE","220.0000","180.0000","2036-11-27 14:00:00","","100001"
"36709","081NSETEST-Nov2036-FUT","081NSETEST NOV FUT","","5.0000","50","FUTSTK","D","NSE","220.0000","180.0000","2036-11-27 14:00:00","","100001"
"36713","091NSETEST-Nov2036-FUT","091NSETEST NOV FUT","","5.0000","50","FUTSTK","D","NSE","220.0000","180.0000","2036-11-27 14:00:00","","100001"
"36715","101NSETEST-Nov2036-FUT","101NSETEST NOV FUT","","5.0000","50","FUTSTK","D","NSE","220.0000","180.0000","2036-11-27 14:00:00","","100001"
"36716","111NSETEST-Nov2036-FUT","111NSETEST NOV FUT","","5.0000","50","FUTSTK","D","NSE","220.0000","180.0000","2036-11-27 14:00:00","","100001"
"36718","121NSETEST-Nov2036-FUT","121NSETEST NOV FUT","","5.0000","50","FUTSTK","D","NSE","220.0000","180.0000","2036-11-27 14:00:00","","100001"
"36720","131NSETEST-Nov2036-FUT","131NSETEST NOV FUT","","5.0000","50","FUTSTK","D","NSE","220.0000","180.0000","2036-11-27 14:00:00","","100001"
"36721","141NSETEST-Nov2036-FUT","141NSETEST NOV FUT","","5.0000","50","FUTSTK","D","NSE","220.0000","180.0000","2036-11-27 14:00:00","","100001"
"36724","151NSETEST-Nov2036-FUT","151NSETEST NOV FUT","","5.0000","50","FUTSTK","D","NSE","220.0000","180.0000","2036-11-27 14:00:00","","100001"
"36725","161NSETEST-Nov2036-FUT","161NSETEST NOV FUT","","5.0000","50","FUTSTK","D","NSE","220.0000","180.0000","2036-11-27 14:00:00","","100001"
"35709","MIDCPNIFTY-May2024-FUT","MIDCPNIFTY MAY FUT","","5.0000","75","FUTIDX","D","NSE","12454.1500","10189.8000","2024-05-27 14:00:00","","4201"
"35089","FINNIFTY-May2024-FUT","FINNIFTY MAY FUT","","5.0000","40","FUTIDX","D","NSE","23681.9000","19376.1000","2024-05-28 14:00:00","","1801"
"46923","BANKNIFTY-May2024-FUT","BANKNIFTY MAY FUT","","5.0000","15","FUTIDX","D","NSE","53116.9500","43459.3000","2024-05-29 14:00:00","","901"
"46930","NIFTY-May2024-FUT","NIFTY MAY FUT","","5.0000","25","FUTIDX","D","NSE","24798.3000","20289.5500","2024-05-30 14:00:00","","1801"
"46931","AARTIIND-May2024-FUT","AARTIIND MAY FUT","","5.0000","1000","FUTSTK","D","NSE","694.8000","568.4500","2024-05-30 14:00:00","","30001"
"46932","ABB-May2024-FUT","ABB MAY FUT","","5.0000","125","FUTSTK","D","NSE","9261.6500","7577.7000","2024-05-30 14:00:00","","3751"
"46933","ABBOTINDIA-May2024-FUT","ABBOTINDIA MAY FUT","","5.0000","20","FUTSTK","D","NSE","29452.2500","24097.3000","2024-05-30 14:00:00","","1001"
"47144","ABCAPITAL-May2024-FUT","ABCAPITAL MAY FUT","","5.0000","5400","FUTSTK","D","NSE","245.1000","200.5500","2024-05-30 14:00:00","","108001"
"47145","ABFRL-May2024-FUT","ABFRL MAY FUT","","5.0000","2600","FUTSTK","D","NSE","291.3500","238.4000","2024-05-30 14:00:00","","104001"
"47455","ACC-May2024-FUT","ACC MAY FUT","","5.0000","300","FUTSTK","D","NSE","2775.3000","2270.7000","2024-05-30 14:00:00","","9001"
"47456","ADANIENT-May2024-FUT","ADANIENT MAY FUT","","5.0000","300","FUTSTK","D","NSE","3376.4500","2762.5500","2024-05-30 14:00:00","","9001"
"47457","ADANIPORTS-May2024-FUT","ADANIPORTS MAY FUT","","5.0000","400","FUTSTK","D","NSE","1476.0500","1207.7000","2024-05-30 14:00:00","","16001"
"47458","ALKEM-May2024-FUT","ALKEM MAY FUT","","5.0000","100","FUTSTK","D","NSE","6011.4000","4918.4500","2024-05-30 14:00:00","","5001"
"47459","AMBUJACEM-May2024-FUT","AMBUJACEM MAY FUT","","5.0000","900","FUTSTK","D","NSE","679.9000","556.2500","2024-05-30 14:00:00","","36001"
"47460","APOLLOHOSP-May2024-FUT","APOLLOHOSP MAY FUT","","5.0000","125","FUTSTK","D","NSE","6550.0500","5359.1000","2024-05-30 14:00:00","","3751"
"48453","APOLLOTYRE-May2024-FUT","APOLLOTYRE MAY FUT","","5.0000","1700","FUTSTK","D","NSE","540.3000","442.0500","2024-05-30 14:00:00","","51001"
"48456","ASHOKLEY-May2024-FUT","ASHOKLEY MAY FUT","","5.0000","5000","FUTSTK","D","NSE","232.0000","189.8500","2024-05-30 14:00:00","","150001"
"48457","ASIANPAINT-May2024-FUT","ASIANPAINT MAY FUT","","5.0000","200","FUTSTK","D","NSE","3107.1500","2542.2000","2024-05-30 14:00:00","","8001"
"48458","ASTRAL-May2024-FUT","ASTRAL MAY FUT","","5.0000","367","FUTSTK","D","NSE","2416.0000","1976.7500","2024-05-30 14:00:00","","11011"
"50925","ATUL-May2024-FUT","ATUL MAY FUT","","5.0000","75","FUTSTK","D","NSE","6585.1500","5387.8500","2024-05-30 14:00:00","","4001"
"50926","AUBANK-May2024-FUT","AUBANK MAY FUT","","5.0000","1000","FUTSTK","D","NSE","688.8500","563.6000","2024-05-30 14:00:00","","40001"
"50927","AUROPHARMA-May2024-FUT","AUROPHARMA MAY FUT","","5.0000","550","FUTSTK","D","NSE","1326.0500","1084.9500","2024-05-30 14:00:00","","22001"
"50928","AXISBANK-May2024-FUT","AXISBANK MAY FUT","","5.0000","625","FUTSTK","D","NSE","1259.2500","1030.3000","2024-05-30 14:00:00","","25001"
"50929","BAJAJ-AUTO-May2024-FUT","BAJAJ-AUTO MAY FUT","","5.0000","125","FUTSTK","D","NSE","9718.5000","7951.5000","2024-05-30 14:00:00","","3001"
"50930","BAJAJFINSV-May2024-FUT","BAJAJFINSV MAY FUT","","5.0000","500","FUTSTK","D","NSE","1747.3000","1429.6500","2024-05-30 14:00:00","","15001"
"50931","BAJFINANCE-May2024-FUT","BAJFINANCE MAY FUT","","5.0000","125","FUTSTK","D","NSE","7415.8500","6067.5000","2024-05-30 14:00:00","","3751"
"50932","BALKRISIND-May2024-FUT","BALKRISIND MAY FUT","","5.0000","300","FUTSTK","D","NSE","3078.2500","2518.6000","2024-05-30 14:00:00","","12001"
"50933","BALRAMCHIN-May2024-FUT","BALRAMCHIN MAY FUT","","5.0000","1600","FUTSTK","D","NSE","419.4500","343.2000","2024-05-30 14:00:00","","64001"
"50934","BANDHANBNK-May2024-FUT","BANDHANBNK MAY FUT","","5.0000","2500","FUTSTK","D","NSE","201.1500","164.6000","2024-05-30 14:00:00","","112001"
"50935","BANKBARODA-May2024-FUT","BANKBARODA MAY FUT","","5.0000","2925","FUTSTK","D","NSE","289.1500","236.6000","2024-05-30 14:00:00","","87751"
"50936","BATAINDIA-May2024-FUT","BATAINDIA MAY FUT","","5.0000","375","FUTSTK","D","NSE","1517.9000","1241.9500","2024-05-30 14:00:00","","18751"
"50937","BEL-May2024-FUT","BEL MAY FUT","","5.0000","2850","FUTSTK","D","NSE","284.6000","232.8500","2024-05-30 14:00:00","","114001"
"50938","BERGEPAINT-May2024-FUT","BERGEPAINT MAY FUT","","5.0000","1320","FUTSTK","D","NSE","541.7000","443.2500","2024-05-30 14:00:00","","39601"
"50939","BHARATFORG-May2024-FUT","BHARATFORG MAY FUT","","5.0000","500","FUTSTK","D","NSE","1642.7500","1344.1000","2024-05-30 14:00:00","","20001"
"50941","BHARTIARTL-May2024-FUT","BHARTIARTL MAY FUT","","5.0000","475","FUTSTK","D","NSE","1484.2500","1214.4000","2024-05-30 14:00:00","","19001"
